CNN kernel size 3 
Epoch: [1/10], Step: [501/3125], trainning Acc: 49.775449101796404, Validation Acc: 57.6 
Epoch: [1/10], Step: [1001/3125], trainning Acc: 59.35625, Validation Acc: 61.4 
Epoch: [1/10], Step: [1501/3125], trainning Acc: 60.9125, Validation Acc: 61.8 
Epoch: [1/10], Step: [2001/3125], trainning Acc: 63.45625, Validation Acc: 63.3 
Epoch: [1/10], Step: [2501/3125], trainning Acc: 64.4125, Validation Acc: 62.0 
Epoch: [1/10], Step: [3001/3125], trainning Acc: 64.84375, Validation Acc: 63.4 
Epoch: [2/10], Step: [501/3125], trainning Acc: 67.39645708582835, Validation Acc: 66.1 
Epoch: [2/10], Step: [1001/3125], trainning Acc: 67.3, Validation Acc: 66.1 
Epoch: [2/10], Step: [1501/3125], trainning Acc: 67.175, Validation Acc: 68.3 
Epoch: [2/10], Step: [2001/3125], trainning Acc: 67.7875, Validation Acc: 65.7 
Epoch: [2/10], Step: [2501/3125], trainning Acc: 67.44375, Validation Acc: 68.3 
Epoch: [2/10], Step: [3001/3125], trainning Acc: 68.36875, Validation Acc: 67.5 
Epoch: [3/10], Step: [501/3125], trainning Acc: 70.73353293413173, Validation Acc: 67.3 
Epoch: [3/10], Step: [1001/3125], trainning Acc: 70.925, Validation Acc: 67.8 
Epoch: [3/10], Step: [1501/3125], trainning Acc: 71.1, Validation Acc: 67.4 
Epoch: [3/10], Step: [2001/3125], trainning Acc: 71.425, Validation Acc: 67.9 
Epoch: [3/10], Step: [2501/3125], trainning Acc: 70.16875, Validation Acc: 68.9 
Epoch: [3/10], Step: [3001/3125], trainning Acc: 71.31875, Validation Acc: 68.8 
Epoch: [4/10], Step: [501/3125], trainning Acc: 74.7380239520958, Validation Acc: 69.7 
Epoch: [4/10], Step: [1001/3125], trainning Acc: 74.44375, Validation Acc: 67.4 
Epoch: [4/10], Step: [1501/3125], trainning Acc: 73.55, Validation Acc: 67.7 
Epoch: [4/10], Step: [2001/3125], trainning Acc: 73.325, Validation Acc: 67.9 
Epoch: [4/10], Step: [2501/3125], trainning Acc: 73.4875, Validation Acc: 68.3 
Epoch: [4/10], Step: [3001/3125], trainning Acc: 73.96875, Validation Acc: 70.1 
Epoch: [5/10], Step: [501/3125], trainning Acc: 77.10828343313374, Validation Acc: 69.8 
Epoch: [5/10], Step: [1001/3125], trainning Acc: 76.56875, Validation Acc: 70.0 
Epoch: [5/10], Step: [1501/3125], trainning Acc: 76.45625, Validation Acc: 68.3 
Epoch: [5/10], Step: [2001/3125], trainning Acc: 76.9, Validation Acc: 67.4 
Epoch: [5/10], Step: [2501/3125], trainning Acc: 76.525, Validation Acc: 67.6 
Epoch: [5/10], Step: [3001/3125], trainning Acc: 76.4375, Validation Acc: 68.2 
Epoch: [6/10], Step: [501/3125], trainning Acc: 80.82584830339322, Validation Acc: 69.4 
Epoch: [6/10], Step: [1001/3125], trainning Acc: 80.04375, Validation Acc: 68.5 
